720	1040	1070	1140
840	1070	1130	1190
930	1070	1130	1240
710	940	970	1030
710	970	990	1030
620	840	930	940
640	850	930	980
670	850	960	1040
890	1110	1190	1230
890	1110	1190	1230
860	1110	1190	1230
860	1110	1190	1230
930	1130	1220	1290
970	1230	1300	1360
1200	1460	1470	1580
1240	1530	1610	1750
1160	1470	1580	1700
1070	1360	1450	1560
1090	1360	1450	1560
1070	1360	1450	1560
1180	1410	1510	1670
1360	1570	1670	1810
1370	1510	1620	1810
1230	1450	1530	1530
1140	1360	1470	1530
1030	1360	1490	1530
1040	1290	1300	1360
850	1070	1190	1210
840	1070	1130	1210
850	1040	1150	1210
850	1020	1130	1190
740	940	1040	1110
700	940	1040	1110
630	870	930	970
780	930	1040	1150
850	1070	1100	1210
850	1020	1130	1190
830	1020	1130	1200
860	1020	1130	1200
810	1020	1130	1200
830	1020	1130	1200
850	1020	1130	1200
870	1070	1130	1210
870	1110	1190	1220
950	1130	1240	1240
960	1130	1270	1310
800	1020	1070	1080
780	1020	1070	1180
850	1070	1110	1220
790	1020	1070	1180
800	990	1100	1160
700	900	990	1090
710	960	1030	1140
750	960	1030	1140
800	1000	1110	1200
830	1040	1110	1200
620	820	920	940
630	820	890	940
600	810	890	920
620	830	920	960
660	860	960	1010
760	920	1040	1100
640	920	920	940
590	830	920	920
610	850	920	920
620	810	910	920
610	840	920	920
680	890	960	1070
590	750	810	920
560	750	840	870
620	810	900	960
660	850	920	1010
780	920	1040	1130
840	1020	1090	1190
1020	1090	1230	1370
660	860	920	1000
660	860	920	1000
690	920	970	1020
710	970	1040	1130
680	920	980	1070
630	920	920	1000
590	810	890	920
680	920	970	1020
710	920	990	1100
620	830	900	920
450	630	710	810
430	640	710	810
540	750	820	860
610	820	910	920
710	940	1010	1010
600	850	920	920
580	830	920	920
560	750	810	860
630	820	890	930
730	890	990	1090
