6.26	7.45	8.74	9.93	11.22	12.41	0.00
5.89	7.01	8.22	9.35	10.56	11.68	0.00
6.30	7.50	8.80	10.00	11.13	12.50	0.00
5.62	6.69	7.85	8.92	10.08	11.15	0.00
5.97	7.11	8.34	9.48	10.71	11.85	0.00
6.76	8.04	9.44	10.72	0.00	13.41	0.00
6.90	8.30	9.70	11.00	0.00	0.00	0.00
6.18	7.36	8.64	9.81	0.00	12.27	0.00
0	7.89	9.25	10.51	11.88	13.14	15.77
0	8.04	9.44	10.72	12.12	13.41	16.09
0	8.92	10.47	11.89	13.44	14.87	17.84
0	9.81	11.51	13.08	14.78	16.35	19.63
0	9.50	11.14	12.66	14.31	15.83	18.99
0	10.51	12.34	14.02	15.84	17.52	21.03
0	11.78	13.82	15.70	17.74	19.63	23.55
0	11.78	13.82	15.70	17.74	19.63	23.55
