18.05	18.1	18.2	18.3	18.35	18.55	18.6	18.85	19.1
19.25	19.3	19.4	19.5	19.6	19.85	19.9	20.2	20.5
22.65	22.75	22.85	23	23.1	23.4	23.5	23.9	24.25
24.1	24.2	24.35	24.55	24.7	25.1	25.2	25.7	26.2
26.65	26.8	26.95	27.2	27.4	27.95	28.1	28.75	29.4
29.35	29.45	29.7	29.95	30.2	30.8	30.95	31.65	32.4
33.65	33.85	34.15	34.5	34.8	35.6	35.8	36.8	37.75
0	0	0	0	0	0	0	0	0
17.95	18	18.05	18.1	18.15	18.3	18.35	18.5	18.65
21.3	21.35	21.45	21.55	21.6	21.85	21.9	22.15	22.4
22.7	22.75	22.85	23	23.1	23.35	23.45	23.8	24.15
25.15	25.25	25.4	25.55	25.7	26.05	26.15	26.6	27.05
27.85	27.95	28.1	28.35	28.5	28.95	29.05	29.6	30.15
32.35	32.45	32.65	32.9	33.05	33.6	33.7	34.35	35
35.8	35.95	36.15	36.45	36.65	37.25	37.4	38.15	38.9
40.9	41.1	41.35	41.7	41.95	42.65	42.85	43.75	44.6
44.15	44.4	44.7	45.15	45.45	46.4	46.6	47.7	48.8
0	0	0	0	0	0	0	0	0
22.4	22.45	22.55	22.65	22.75	22.95	23	23.3	23.55
24.15	24.25	24.35	24.5	24.6	24.9	24.95	25.3	25.7
26.2	26.3	26.45	26.6	26.75	27.15	27.25	27.7	28.15
29	29.15	29.3	29.55	29.7	30.2	30.3	30.9	31.45
33.5	33.6	33.8	34.1	34.25	34.85	35	35.65	36.35
