28,85	28,95	29,05	29,15	29,25	29,35	29,45	29,6	29,9
30,1	30,2	30,35	30,45	30,6	30,7	30,8	30,95	31,3
32,6	32,75	32,9	33,1	33,25	33,4	33,55	33,7	34,2
37,55	37,75	37,95	38,2	38,4	38,6	38,8	39	39,65
38,85	40,3	40,5	40,75	41	41,25	41,45	41,7	42,5
44,05	44,45	44,8	45,15	45,55	45,9	46,2	46,6	47,75
46,65	47,05	47,4	47,75	48,15	48,5	48,8	49,2	50,35
50,55	51,05	51,5	52	52,5	53	53,4	53,95	55,45
31,65	31,75	31,85	31,95	32,05	32,3	32,1	32,4	32,45
32,9	33	33,1	33,25	33,35	33,65	33,45	33,75	33,8
35,4	35,55	35,7	35,9	36,05	36,4	36,15	36,6	36,6
39,9	40,05	40,3	40,5	40,7	41,2	40,85	41,4	41,45
42,85	43,1	43,35	43,6	43,85	44,4	44	44,65	44,7
46,7	47	47,4	47,75	48,15	49	48,35	49,35	49,45
49,55	49,85	50,25	50,6	51	51,85	51,2	52,2	52,3
53,5	53,9	54,4	54,9	55,4	56,5	55,7	56,45	57,15
31,25	31,4	31,55	31,7	31,85	32,15	31,95	32,35	32,35
32,6	32,75	32,9	33,05	33,25	33,6	33,35	33,8	33,8
34,75	34,9	35,15	35,35	35,55	36,05	35,7	36,25	36,3
39,65	39,9	40,15	40,4	40,65	41,2	40,8	41,45	41,5
42,4	42,65	43	43,3	43,6	44,25	43,75	44,55	44,6
46,25	46,55	46,95	47,3	47,7	48,45	47,9	48,9	49
49,55	49,95	50,45	50,95	51,45	52,55	51,75	53,1	53,2
52,45	52,85	53,35	53,85	54,35	55,45	54,65	55,4	56,1
